
Pre-schedule statistics


Total nodes: 45

Node class;Type;Length;Num
NodeCat;{HWRawBits:512};0;1
NodeConstantDouble;HWUntypedConst;0;2
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeEqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWOffsetFix:64, 0, UNSIGNED};0;8
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeReinterpret;{HWRawBits:64};0;8
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1

Final statistics


Total nodes: 45

Node class;Type;Length;Num
NodeCat;{HWRawBits:512};0;1
NodeConstantDouble;HWUntypedConst;0;2
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounter;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeEqInlined;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeInput;{HWOffsetFix:64, 0, UNSIGNED};0;8
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;9
NodeReinterpret;{HWRawBits:64};0;8
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
