name,solution
C0000001,0
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,0
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,0
C0000022,0
C0000023,0
C0000024,0
C0000025,0
C0000026,0
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,0
C0000032,9
C0000033,4
C0000034,9
C0000035,9
C0000036,9
C0000037,9
C0000038,9
C0000039,9
C0000040,9
C0000041,9
C0000042,9
C0000043,9
C0000044,9
C0000045,9
C0000046,9
C0000047,9
C0000048,9
C0000049,9
C0000050,9
C0000051,9
C0000052,9
C0000053,9
C0000054,9
C0000055,9
C0000056,9
C0000057,9
C0000058,9
C0000059,9
C0000060,9
C0000061,9
C0000062,9
C0000063,9
C0000064,9
C0000065,9
C0000066,9
C0000067,9
C0000068,9
C0000069,3
C0000070,3
C0000071,4
C0000072,0
C0000073,0
C0000074,1
